# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.0,3.0,-1.023395909430302,0,3.0,-2.836502180684839,0.0,0.0,0.021900353793793247
 0.0898076416761331,1.0120961889280917,2.9997839193913003,-1.023395909430302,0.2694229250283994,3.000000000000001,-2.836502180684839,0.001966819126093526,-52.54550837341091,0.15634015795028045
 0.1275468052544191,1.02438341681614,2.9991385926083027,-3.0064194452386532,0.3826404157632574,3.0000000000000004,-2.666216362731559,0.007866965920834232,-64.6142198500235,0.33502344006836815
 0.156895625622941,1.0368596753198045,2.9980683922156572,-4.902770576869173,0.4706868768688231,3.0000000000000018,-2.501371774600348,0.017699508682645023,-72.2003166792953,0.5486838164464145
 0.18197999232713205,1.049522956094744,2.9965776907780155,-6.713869796611339,0.5459399769813963,3.0,-2.3431005575315287,0.031462894739041944,-77.09471509256511,0.7894028697308866
 0.2043919401818514,1.0623712507966188,2.9946708608600288,-8.441712531140352,0.6131758205455543,3.0,-2.192188458141952,0.04915495069181638,-80.1372181968319,1.0518353123959738
 0.22494452271416976,1.075402551081088,2.992352275026348,-10.088739322041146,0.6748335681425094,2.9999999999999987,-2.049126953735805,0.0707728827602415,-81.82942592073147,1.33204628905974
 0.24411832671164657,1.088614848603811,2.9896263058416235,-11.6577206958713,0.7323549801349397,2.9999999999999942,-1.9141649044420455,0.0963132772222393,-82.5093008708243,1.6269943908458948
 0.26222461146404674,1.1020061350204475,2.9864973258705074,-13.151657592159903,0.7866738343921402,3.0,-1.787356877250514,0.12577210095345293,-82.42069392377951,1.9342590541751914
 0.27947804038745133,1.115574401986657,2.9829697076776496,-14.573697176591518,0.838434121162354,3.000000000000003,-1.6686064642569098,0.15914470206411638,-81.7469033196572,2.2518780661684024
 0.29603360311068627,1.1293176411580985,2.9790478238277025,-15.927063161930326,0.888100809332059,3.00000000000001,-1.5577038186626897,0.19642581063364437,-80.62918682150719,2.578241569899546
 0.31200717571536013,1.143233844190432,2.974736046885316,-17.214999331679483,0.9360215271460806,2.9999999999999964,-1.4543572709986365,0.23760953954282307,-79.17805700686695,2.912018109297054
 0.32748779574196263,1.1573210027393168,2.9700387494151417,-18.44072474664746,0.9824633872258881,3.0000000000000036,-1.3582193058995682,0.2826893854034362,-77.4807331079127,3.252100368439026
 0.34254540117660315,1.1715771084604125,2.9649603039818304,-19.6073990545731,1.0276362035298097,3.0,-1.2689074227114228,0.3316582295852401,-75.60636142107447,3.5975638504773246
 0.3572359284198719,1.1860001530093782,2.9595050831500336,-20.718096366793816,1.071707785259616,3.000000000000004,-1.1860205200145162,0.38450833934007606,-73.60984130114014,3.947634539102674
 0.3716047939065361,1.2005881280418738,2.953677459484402,-21.7757862749446,1.1148143817196086,2.999999999999996,-1.109151473637566,0.44123136902295207,-71.53472346244955,4.301663081180956
 0.38568934475200767,1.2153390252135585,2.9474818055495864,-22.78332072476822,1.1570680342560231,2.999999999999992,-1.037896552535396,0.5018183614099331,-69.41545813106126,4.659103875516937
 0.39952062849763703,1.230250836180092,2.940922493910238,-23.74342562251178,1.1985618854929112,3.0,-0.9718622601083075,0.5662597491125693,-67.27916814371902,5.019497956670634
 0.4131246995751839,1.2453215525971337,2.9340038971310083,-24.65869620797716,1.2393740987255517,2.999999999999996,-0.9106701168261385,0.6345453560887178,-65.14706355503348,5.382458877366185
 0.42652360234506737,1.2605491661203427,2.9267303877765474,-25.531595378294472,1.2795708070352023,3.0000000000000124,-0.8539598246701778,0.7066643992494435,-63.03557910748637,5.747660998446819
 0.43973612321797145,1.2759316684053792,2.9191063384115075,-26.364454282987733,1.3192083696539145,2.999999999999996,-0.8013911808309975,0.7826054901617988,-60.95729366720054,6.114829735110947
 0.4527783746199146,1.291467051107902,2.911136121600539,-27.159474631777442,1.3583351238597439,2.9999999999999916,-0.7526450415096635,0.8623566368471932,-58.921675946196906,6.483733407005773
 0.4656642543412484,1.3071533058835711,2.902824109908293,-27.91873226099954,1.3969927630237453,3.0,-0.7074235788641284,0.9459052456750635,-56.93569062349928,6.8541764120481865
 0.47840581108364105,1.3229884243880459,2.8941746758994205,-28.64418159374617,1.435217433250923,2.999999999999991,-0.6654500235133479,1.0332381233515446,-55.00429157371777,7.225993498265088
 0.49101353840489964,1.3389703982769854,2.885192192138573,-29.337660703406605,1.4730406152146989,3.0,-0.6264680443618841,1.1243414790028583,-53.13082343934058,7.599044949908857
 0.5034966133143757,1.3550972192060498,2.875881031190401,-30.00089675240204,1.510489839943127,3.0000000000000044,-0.5902408824715598,1.219200926353046,-51.317348569058375,7.97321253711681
 0.5158630915919423,1.3713668788308975,2.8662455656195553,-30.635511628743615,1.5475892747758269,2.999999999999991,-0.5565503288558938,1.3178014859957232,-49.56491307896339,8.348396104710377
 0.5281200689179284,1.3877773688071893,2.856290167990688,-31.24302764451694,1.5843602067537852,3.000000000000009,-0.525195613408356,1.4201275877595088,-47.87376319941297,8.724510697019698
 0.5402738147369855,1.4043266807905836,2.8460192108684494,-31.824873193844336,1.6208214442109568,3.0000000000000093,-0.4959922550812718,1.5261630731667313,-46.24352098554868,9.101484132955466
 0.5523298841884504,1.4210128064367404,2.8354370668174904,-32.382388294526386,1.6569896525653514,3.0,-0.46877090965459633,1.635891197985048,-44.67332682015922,9.479254959784713
